Tipo,Porosidad [%],Permeabilidad [md],Permeabilidad [md],Profundidad [ft],Profundidad [ft],Gravedad [API],Gravedad [API],Viscosidad [cp],Viscosidad [cp],Temperatura [F],Temperatura [F]
CO2 miscible ,7,15,15,8200,8200,35,35,1..1,1..1,120,120
CO2 miscible ,11,4,4,4900,4900,34,34,2.3,2.3,98,98
CO2 miscible ,7,2,2,7850,7850,28,28,1.9,1.9,134,134
CO2 miscible ,11,8,8,5250,5250,34,34,1.2,1.2,105,105
CO2 miscible ,12,8,8,5200,5200,33,33,1.2,1.2,105,105
CO2 miscible ,10,5,5,5100,5100,34,34,1.3,1.3,110,110
CO2 miscible ,10,1.5,1.5,5100,5100,32,32,2,2,105,105
CO2 miscible ,10,3,3,4900,4900,34,34,2.3,2.3,98,98
CO2 miscible ,18.1,48,48,6500,6500,44,44,2,2,142,142
CO2 miscible ,16,37,37,2600,2600,36,36,1.6,1.6,83,83
CO2 miscible ,22,4,4,5500,5500,40,40,1,1,101,101
CO2 miscible ,8.6,2,2,4500,4500,33,33,1,1,106,106
CO2 miscible ,13,6,6,5100,5100,33,33,1,1,110,110
Nitrógeno no miscible,28,2800,2800,4600,4600,16,16,25,25,168,168
Nitrógeno no miscible,28,2800,2800,4600,4600,24,24,4,4,168,168
"Quimica, polimero y surfactante ",14,20,60,4800,4800,34,34,2.63,2.63,102,102
CO2 miscible ,14,5,5,5600,5600,41,41,1,1,125,125
CO2 miscible ,12,18.3,18.3,5700,5700,42,42,1.5,1.5,129,129
CO2 inmiscible,17,30,30,1150,1150,35,35,0.6,0.6,99,99
CO2 miscible ,17,25,25,1750,1750,39,39,0.6,0.6,105,105
CO2 miscible ,18,30,30,2200,2200,39,39,0.6,0.6,112,112
CO2 miscible ,18,75,75,1900,1900,37,37,0.6,0.6,105,105
CO2 miscible ,17,30,30,1150,1150,35,35,0.6,0.6,99,99
CO2 miscible ,17,30,30,1600,1600,35,35,0.6,0.6,99,99
CO2 miscible ,10,16,16,9000,9000,30,30,2,2,200,200
CO2 miscible ,10,10,10,11100,11100,39.5,39.5,0.64,0.64,232,232
CO2 miscible ,9.9,31,31,5000,5000,35,35,1,1,178,178
CO2 miscible ,10.3,4,4,5400,5400,35,35,1,1,181,181
CO2 miscible ,10,20,20,6000,6000,35,35,1,1,163,163
CO2 miscible ,10,5,5,6400,6400,35,35,1,1,170,170
